Date,Open,High,Low,Close,Adj Close,Volume
07/05/2001,116.199997,117.25,115,115.900002,74.020004,6088600
08/05/2001,117.25,117.75,115.5,117.699997,75.260498,7605800
09/05/2001,116.199997,118.18,115.300003,116.980003,74.800125,7680200
10/05/2001,118.5,118.900002,115.199997,115.199997,73.661926,7993900
11/05/2001,113.75,114.150002,110.959999,111.809998,71.494293,8390200
14/05/2001,111.199997,113.18,111,112.559998,71.973869,5254800
15/05/2001,113.5,114.150002,112.5,113.580002,72.626068,5873400
16/05/2001,112.5,115.800003,112.199997,115.800003,74.045593,7796700
17/05/2001,115.800003,117.089996,115.050003,115.07,73.578804,6887700
18/05/2001,115.07,117.68,114.900002,117.440002,75.094276,6714900
21/05/2001,117.949997,119.900002,117.550003,119.040001,76.11734,8409400
22/05/2001,119.699997,119.699997,117.25,118.010002,75.458733,6005300
23/05/2001,117.800003,118.949997,117.099998,117.400002,75.068672,6402600
24/05/2001,117.5,119.599998,117.5,119.599998,76.475403,7726400
25/05/2001,119.519997,119.900002,117.760002,117.800003,75.324463,5629100
29/05/2001,117.349998,117.589996,115.080002,115.269997,73.706703,5818000
30/05/2001,114,114.099998,112,112.650002,72.03141,9598700
31/05/2001,112.650002,113.860001,111.639999,111.800003,71.487892,6724100
01/06/2001,112.5,113.599998,111.900002,112.889999,72.184868,5138900
04/06/2001,113.25,114.75,112.849998,113.639999,72.664406,3812200
05/06/2001,113.639999,117.599998,113.559998,116.970001,74.793755,6154400
06/06/2001,117.599998,119,116.5,117.5,75.132614,9624200
07/06/2001,117,118.25,117,117.25,74.972763,6423700
08/06/2001,117.5,117.5,115.599998,116.099998,74.237419,3099100
11/06/2001,116.300003,118.139999,116.099998,117.360001,75.043106,6542700
12/06/2001,116.75,117.800003,115.550003,117.25,74.972763,7301500
13/06/2001,117.25,118.470001,116.529999,116.540001,74.518776,5703200
14/06/2001,115.599998,116.080002,113.989998,115.75,74.013618,7502500
15/06/2001,115.099998,115.449997,113.379997,113.599998,72.638863,12470100
18/06/2001,113.980003,115.440002,113.309998,114.269997,73.067261,5182800
19/06/2001,116.260002,117.25,114.559998,114.839996,73.431763,6152800
20/06/2001,113.5,114.989998,111.760002,113.089996,72.312752,8828300
21/06/2001,112.150002,114.699997,111.360001,112.599998,71.999413,8155800
22/06/2001,112.599998,114.43,112.5,112.870003,72.172081,5607200
25/06/2001,113.75,114.900002,111.779999,112.650002,72.03141,5675900
26/06/2001,111.25,114.050003,111.099998,113.040001,72.280807,7081900
27/06/2001,113.099998,114.18,112.449997,113.519997,72.587692,4814100
28/06/2001,113.800003,116.949997,113.75,115.099998,73.597969,8181000
29/06/2001,115.599998,116.650002,113,113.5,72.574928,9477400
02/07/2001,113.5,115.400002,112.959999,114.349998,73.118401,5913100
03/07/2001,114.099998,114.190002,112.760002,112.980003,72.242424,3325800
05/07/2001,112.599998,113.260002,111.790001,112.099998,71.679726,4419000
06/07/2001,110.900002,110.900002,105.809998,106.5,68.098923,11704600
09/07/2001,106.5,106.949997,103.650002,104.720001,66.960762,9312600
10/07/2001,104.730003,105.400002,101.599998,101.959999,65.195953,10266600
11/07/2001,101.599998,104.129997,101.559998,103.849998,66.404465,8895400
12/07/2001,105.900002,107.800003,105.620003,107.25,68.578499,8766400
13/07/2001,106.150002,109.300003,106.110001,108.529999,69.39698,7841800
16/07/2001,108.529999,109.379997,107.279999,107.82,68.942986,5330100
17/07/2001,106.099998,108.580002,104.75,108.529999,69.39698,8662400
18/07/2001,106.099998,107.599998,103.199997,104.279999,66.679405,11670300
19/07/2001,105.599998,106,103.099998,104,66.500359,13644500
20/07/2001,103.400002,105.699997,103.029999,105.699997,67.587372,8991700
23/07/2001,105.699997,106.949997,105.300003,105.849998,67.683304,6315700
24/07/2001,104.849998,106.150002,103.790001,104.510002,66.826477,7299800
25/07/2001,104.5,105.699997,102.730003,104.889999,67.06945,6247600
26/07/2001,104.75,106,102.93,106,67.779205,8428700
27/07/2001,104.75,105.949997,104.110001,104.699997,66.947998,4346500
30/07/2001,104.900002,106.25,104.760002,105.849998,67.683304,4030800
31/07/2001,105.900002,107,105.150002,105.209999,67.274078,5603000
01/08/2001,105.349998,108.5,105.309998,107.059998,68.457024,6036100
02/08/2001,108.5,109.470001,107.209999,108.800003,69.569626,5675100
03/08/2001,107.800003,110.089996,107.099998,108.18,69.173134,3704100
06/08/2001,107.25,107.370003,105.790001,106.510002,68.105309,4176800
07/08/2001,105.800003,107.370003,105.260002,106.25,67.939079,4029300
08/08/2001,105,106.099998,104.099998,104.190002,66.709793,6398000
09/08/2001,103.699997,104.540001,102.699997,104.080002,66.639297,6763200
10/08/2001,103.849998,104.949997,102.809998,104.949997,67.196358,5254800
13/08/2001,105,106.639999,104.650002,105.860001,67.779015,6024400
14/08/2001,106.5,106.849998,105.400002,106.199997,67.996704,5730200
15/08/2001,106.349998,106.589996,105.010002,105.010002,67.234772,4712900
16/08/2001,104.199997,106.019997,103.660004,105.75,67.708565,6215200
17/08/2001,105.489998,105.489998,103.900002,104.589996,66.965851,7006200
20/08/2001,104.68,105,102.800003,104.099998,66.65213,5612700
21/08/2001,103.849998,104.970001,101.400002,101.889999,65.237122,6515900
22/08/2001,102.5,104.040001,101.760002,103.959999,66.562508,8029000
23/08/2001,104,104.699997,103,103,65.947838,5474300
24/08/2001,103.949997,107.800003,103.410004,106.989998,68.502525,7711900
27/08/2001,106.989998,108.199997,106.639999,106.860001,68.419296,4540900
28/08/2001,106.900002,107.169998,104.870003,104.949997,67.196358,5808100
